Item,Qty,Reference(s),Value,DNP,manufacturer part#,vendor,vendor part#
1,16,"C1, C2, C4, C5, C6, C7, C8, C9, C10, C11, C12, C15, C16, C17, C18, C19",.1uF,,CC0805KRX7R9BB104,digikey,311-1140-1-ND
2,1,C3,3.3uF,,CGA4J1X7R1E335K125AC,digikey,445-6966-1-ND
3,3,"C13, C14, C20",4.7uF,,TAJR475M010RNJ,digikey,478-3057-1-ND
4,1,C21,50V 1uF,,105RSS050M,digikey,105RSS050M-ND
5,1,C22,50V 10uF,,106RSS050M,digikey,1572-1291-ND
6,2,"FB1, FB2",FerriteBead_Small,,HZ0805E601R-10,digikey,240-2399-1-ND
7,2,"H1, H2",MountingHole,,,,
8,1,J1,TERM BLK 8POS SIDE ENTRY 5MM PCB,,1935226,digikey,277-1583-ND
9,1,J2,USB_B_Mini,,65100516121,digikey,732-2109-1-ND
10,1,J3,CHARGER,,1935161,digikey,277-1667-ND
11,1,J4,SWITCH,,1935161,digikey,277-1667-ND
12,1,J5,AMMETER,,1935161,digikey,277-1667-ND
13,1,J6,VOLT METER,,1935161,digikey,277-1667-ND
14,1,J7,+12V,,1935161,digikey,277-1667-ND
15,1,R1,1K,,RC0805FR-071KL,digikey, 311-1.00KCRCT-ND
16,1,R2,12K,,RMCF0805JT12K0,digikey,738-RMCF0805JT12K0CT-ND
17,1,U1,FT4232H,,FT4232HL-REEL,digikey,  768-1026-1-ND
18,1,U2,3.3V regulator,,BA033CC0FP-E2,digikey,BA033CC0FP-E2CT-ND
19,1,U3,MAX3232,,MAX3232EUE+T, digikey,MAX3232EUE+TCT-ND
20,1,U5,12V LDO,,ZXTR2112FQ-7,digikey,ZXTR2112FQ-7DICT-ND
21,1,X1,ECS-2033-120-BN,,ECS-2033-120-BN,digikey,XC1426CT-ND
